ST3GAL3_5	ENSG00000126091
ST3GAL3_2	ENSG00000126091
ST3GAL3_3	ENSG00000126091
ST3GAL3_7	ENSG00000126091
ARTN_2	ENSG00000117407
ARTN_1	ENSG00000117407
ARTN_3	ENSG00000117407
IPO13_1	ENSG00000117408
DPH2_1	ENSG00000132768
B4GALT2_3	ENSG00000117411
B4GALT2_1	ENSG00000117411
B4GALT2_4	ENSG00000117411
B4GALT2_2	ENSG00000117411
CCDC24_1	ENSG00000159214
SLC6A9_3	ENSG00000196517
SLC6A9_2	ENSG00000196517
SLC6A9_1	ENSG00000196517
SLC6A9_4	ENSG00000196517
KLF17_2	ENSG00000171872
KLF17_1	ENSG00000171872
DMAP1_1	ENSG00000178028
ERI3_1	ENSG00000117419
RNF220_1	ENSG00000187147
RNF220_2	ENSG00000187147
RPS8_2	ENSG00000142937
KIF2C_1	ENSG00000142945
KIF2C_2	ENSG00000142945
BEST4_1	ENSG00000142959
PLK3_2	ENSG00000173846
PLK3_1	ENSG00000173846
PTCH2_2	ENSG00000117425
PTCH2_1	ENSG00000117425
EIF2B3_1	ENSG00000070785
ZSWIM5_2	ENSG00000162415
ZSWIM5_1	ENSG00000162415
TOE1_1	ENSG00000132773
MUTYH_1	ENSG00000132781
MUTYH_3	ENSG00000132781
TOE1_2	ENSG00000132773
MUTYH_2	ENSG00000132781
TESK2_1	ENSG00000070759
TESK2_2	ENSG00000070759
CCDC163P_2	ENSG00000280670
NASP_2	ENSG00000132780
PRDX1_1	ENSG00000117450
AKR1A1_1	ENSG00000117448
NASP_1	ENSG00000132780
CCDC17_1	ENSG00000159588
CCDC17_3	ENSG00000159588
CCDC17_2	ENSG00000159588
GPBP1L1_1	ENSG00000159592
TMEM69_1	ENSG00000159596
IPP_1	ENSG00000197429
MAST2_1	ENSG00000086015
PIK3R3_5	ENSG00000117461
PIK3R3_1	ENSG00000117461
PIK3R3_3	ENSG00000117461
PIK3R3_2	ENSG00000117461
TSPAN1_2	ENSG00000117472
TSPAN1_3	ENSG00000117472
PIK3R3_4	ENSG00000117461
TSPAN1_1	ENSG00000117472
POMGNT1_1	ENSG00000085998
LURAP1_2	ENSG00000171357
LURAP1_1	ENSG00000171357
RAD54L_1	ENSG00000085999
UQCRH_2	ENSG00000173660
LRRC41_1	ENSG00000132128
UQCRH_1	ENSG00000173660
LRRC41_3	ENSG00000132128
LRRC41_2	ENSG00000132128
NSUN4_2	ENSG00000117481
FAAH_2	ENSG00000117480
FAAH_4	ENSG00000117480
FAAH_3	ENSG00000117480
FAAH_1	ENSG00000117480
DMBX1_1	ENSG00000197587
DMBX1_3	ENSG00000197587
DMBX1_2	ENSG00000197587
MKNK1_1	ENSG00000079277
MOB3C_2	ENSG00000142961
MOB3C_1	ENSG00000142961
ATPAF1_1	ENSG00000123472
TEX38_1	ENSG00000186118
EFCAB14_1	ENSG00000159658
CYP4B1_1	ENSG00000142973
CYP4X1_4	ENSG00000186377
CYP4X1_3	ENSG00000186377
CYP4A11_1	ENSG00000187048
CYP4X1_2	ENSG00000186377
CYP4X1_1	ENSG00000186377
CYP4Z1_1	ENSG00000186160
CYP4A22_1	ENSG00000162365
